von;wert;counts
30.08.2013 23:00:00;75.7893;15
30.08.2013 23:30:00;75.7453;15
31.08.2013 00:00:00;75.9893;15
31.08.2013 00:30:00;75.974;15
31.08.2013 01:00:00;75.7167;15
31.08.2013 01:30:00;75.6233;15
31.08.2013 02:00:00;76.5933;15
31.08.2013 02:30:00;79.6673;15
31.08.2013 03:00:00;78.458;15
31.08.2013 03:30:00;69.1253;15
31.08.2013 04:00:00;62.92;15
31.08.2013 04:30:00;61.3933;15
31.08.2013 05:00:00;60.7647;15
31.08.2013 05:30:00;58.0547;15
31.08.2013 06:00:00;58.318;15
31.08.2013 06:30:00;58.6433;15
31.08.2013 07:00:00;60.4367;15
31.08.2013 07:30:00;60.442;15
31.08.2013 08:00:00;60.2793;15
31.08.2013 08:30:00;61.5887;15
31.08.2013 09:00:00;63.68;15
31.08.2013 09:30:00;62.7227;15
31.08.2013 10:00:00;65.218;15
31.08.2013 10:30:00;61.4553;15
31.08.2013 11:00:00;59.908;15
31.08.2013 11:30:00;60.8553;15
31.08.2013 12:00:00;55.26;15
31.08.2013 12:30:00;53.3713;15
31.08.2013 13:00:00;46.3513;15
31.08.2013 13:30:00;48.464;15
31.08.2013 14:00:00;44.8347;15
31.08.2013 14:30:00;41.8487;15
31.08.2013 15:00:00;44.228;15
31.08.2013 15:30:00;42.8267;15
31.08.2013 16:00:00;41.2807;15
31.08.2013 16:30:00;41.066;15
31.08.2013 17:00:00;38.5487;15
31.08.2013 17:30:00;39.842;15
31.08.2013 18:00:00;42.2967;15
31.08.2013 18:30:00;44.9383;12
31.08.2013 19:30:00;56.0287;15
31.08.2013 20:00:00;60.166;15
31.08.2013 20:30:00;65.4653;15
31.08.2013 21:00:00;69.0067;15
31.08.2013 21:30:00;68.3767;15
31.08.2013 22:00:00;68.1;15
31.08.2013 22:30:00;67.3893;15
31.08.2013 23:00:00;66.324;15
31.08.2013 23:30:00;67.1833;15
01.09.2013 00:00:00;68.7993;15
01.09.2013 00:30:00;68.724;15
01.09.2013 01:00:00;68.9993;15
01.09.2013 01:30:00;70.096;15
01.09.2013 02:00:00;71.772;15
01.09.2013 02:30:00;69.5013;15
01.09.2013 03:00:00;63.1393;15
01.09.2013 03:30:00;56.7047;15
01.09.2013 04:00:00;57.962;15
01.09.2013 04:30:00;58.2193;15
01.09.2013 05:00:00;56.0787;15
01.09.2013 05:30:00;52.228;15
01.09.2013 06:00:00;45.5987;15
01.09.2013 06:30:00;41.4787;15
01.09.2013 07:00:00;41.6913;15
01.09.2013 07:30:00;38.7373;15
01.09.2013 08:00:00;37.4047;15
01.09.2013 08:30:00;36.73;15
01.09.2013 09:00:00;34.484;15
01.09.2013 09:30:00;33.152;15
01.09.2013 10:00:00;32.89;15
01.09.2013 10:30:00;36.67;15
01.09.2013 11:00:00;37.0493;15
01.09.2013 11:30:00;36.11;15
01.09.2013 12:00:00;35.6387;15
01.09.2013 12:30:00;37.4907;15
01.09.2013 13:00:00;37.1027;15
01.09.2013 13:30:00;35.6773;15
01.09.2013 14:00:00;34.4953;15
01.09.2013 14:30:00;35.5627;15
01.09.2013 15:00:00;36.67;15
01.09.2013 15:30:00;37.9413;15
01.09.2013 16:00:00;39.8907;15
01.09.2013 16:30:00;40.9153;15
01.09.2013 17:00:00;42.244;15
01.09.2013 17:30:00;43.3213;15
01.09.2013 18:00:00;44.2287;15
01.09.2013 18:30:00;44.9087;15
01.09.2013 19:00:00;47.8327;15
01.09.2013 19:30:00;54.0733;15
01.09.2013 20:00:00;57.3313;15
01.09.2013 20:30:00;61.714;15
01.09.2013 21:00:00;65.854;15
01.09.2013 21:30:00;69.1533;15
01.09.2013 22:00:00;71.2633;15
01.09.2013 22:30:00;72.6927;15
01.09.2013 23:00:00;73.5867;15
01.09.2013 23:30:00;74.0553;15
02.09.2013 00:00:00;74.686;15
02.09.2013 00:30:00;75.128;15
02.09.2013 01:00:00;74.7713;15
02.09.2013 01:30:00;73.2927;15
02.09.2013 02:00:00;73.0733;15
02.09.2013 02:30:00;71.3973;15
02.09.2013 03:00:00;66.6953;15
02.09.2013 03:30:00;59.9687;15
02.09.2013 04:00:00;59.8173;15
02.09.2013 04:30:00;62.398;15
02.09.2013 05:00:00;59.534;15
02.09.2013 05:30:00;52.5373;15
02.09.2013 06:00:00;49.4867;15
02.09.2013 06:30:00;47.8133;15
02.09.2013 07:00:00;50.2653;15
02.09.2013 07:30:00;45.9567;15
02.09.2013 08:00:00;45.42;15
02.09.2013 08:30:00;48.2673;15
02.09.2013 09:00:00;46.536;15
02.09.2013 09:30:00;46.8407;15
02.09.2013 10:00:00;43.4853;15
02.09.2013 10:30:00;43.2373;15
02.09.2013 11:00:00;42.626;15
02.09.2013 11:30:00;42.152;15
02.09.2013 12:00:00;42.996;15
02.09.2013 12:30:00;48.1927;15
02.09.2013 13:00:00;46.2013;15
02.09.2013 13:30:00;45.2147;15
02.09.2013 14:00:00;47.866;15
02.09.2013 14:30:00;48.4507;15
02.09.2013 15:00:00;48.63;15
02.09.2013 15:30:00;50.6707;15
02.09.2013 16:00:00;51.3833;15
02.09.2013 16:30:00;52.1653;15
02.09.2013 17:00:00;52.5467;6
03.09.2013 02:00:00;75.33;15
03.09.2013 02:30:00;75.0767;15
03.09.2013 03:00:00;70.0833;15
03.09.2013 03:30:00;64.2467;15
03.09.2013 04:00:00;63.914;15
03.09.2013 04:30:00;64.5713;15
03.09.2013 05:00:00;63.168;15
03.09.2013 05:30:00;59.0353;15
03.09.2013 06:00:00;52.5227;15
03.09.2013 06:30:00;51.63;15
03.09.2013 07:00:00;52.8313;15
03.09.2013 07:30:00;55.5067;15
03.09.2013 08:00:00;52.4713;15
03.09.2013 08:30:00;51.036;15
03.09.2013 09:00:00;48.9167;15
03.09.2013 09:30:00;46.16;15
03.09.2013 10:00:00;47.2453;15
03.09.2013 10:30:00;46.7973;15
03.09.2013 11:00:00;41.8073;15
03.09.2013 11:30:00;42.6693;15
03.09.2013 12:00:00;41.6233;15
03.09.2013 12:30:00;39.9433;15
03.09.2013 13:00:00;42.4793;15
03.09.2013 13:30:00;43.14;15
03.09.2013 14:00:00;44.7553;15
03.09.2013 14:30:00;43.6293;15
03.09.2013 15:00:00;43.3573;15
03.09.2013 15:30:00;45.2907;15
03.09.2013 16:00:00;48.858;15
03.09.2013 16:30:00;53.5533;15
03.09.2013 17:00:00;58.2893;15
03.09.2013 17:30:00;58.3913;15
03.09.2013 18:00:00;58.758;15
03.09.2013 18:30:00;58.3947;15
03.09.2013 19:00:00;61.6007;15
03.09.2013 19:30:00;67.1547;15
03.09.2013 20:00:00;70.7653;15
03.09.2013 20:30:00;73.1147;15
03.09.2013 21:00:00;74.6087;15
03.09.2013 21:30:00;75.744;15
03.09.2013 22:00:00;76.892;15
03.09.2013 22:30:00;78.1787;15
03.09.2013 23:00:00;79.0273;15
03.09.2013 23:30:00;79.5513;15
04.09.2013 00:00:00;79.5673;15
04.09.2013 00:30:00;78.2747;15
04.09.2013 01:00:00;79.1247;15
04.09.2013 01:30:00;79.7173;15
04.09.2013 02:00:00;78.2633;15
04.09.2013 02:30:00;78.5873;15
04.09.2013 03:00:00;74.18;15
04.09.2013 03:30:00;66.554;15
04.09.2013 04:00:00;66.0453;15
04.09.2013 04:30:00;66.136;15
04.09.2013 05:00:00;64.57;15
04.09.2013 05:30:00;58.7447;15
04.09.2013 06:00:00;55.3173;15
04.09.2013 06:30:00;54.7307;15
04.09.2013 07:00:00;54.0727;15
04.09.2013 07:30:00;51.3873;15
04.09.2013 08:00:00;46.7647;15
04.09.2013 08:30:00;46.0393;15
04.09.2013 09:00:00;44.2827;15
04.09.2013 09:30:00;42.5307;15
04.09.2013 10:00:00;37.6287;15
04.09.2013 10:30:00;39.3147;15
04.09.2013 11:00:00;42.2467;15
04.09.2013 11:30:00;40.2513;15
04.09.2013 12:00:00;40.652;15
04.09.2013 12:30:00;40.578;15
04.09.2013 13:00:00;41.1833;15
04.09.2013 13:30:00;42.188;15
04.09.2013 14:00:00;45.5207;15
04.09.2013 14:30:00;47.672;15
04.09.2013 15:00:00;48.4253;15
04.09.2013 15:30:00;48.79;15
04.09.2013 16:00:00;45.74;15
04.09.2013 16:30:00;47.3813;15
04.09.2013 17:00:00;50.432;15
04.09.2013 17:30:00;54.0447;15
04.09.2013 18:00:00;57.0633;15
04.09.2013 18:30:00;58.5;15
04.09.2013 19:00:00;61.486;15
04.09.2013 19:30:00;67.0313;15
04.09.2013 20:00:00;68.4427;15
04.09.2013 20:30:00;70.2387;15
04.09.2013 21:00:00;72.5727;15
04.09.2013 21:30:00;73.1707;15
04.09.2013 22:00:00;73.478;15
04.09.2013 22:30:00;74.034;15
04.09.2013 23:00:00;73.3033;15
04.09.2013 23:30:00;72.558;15
05.09.2013 00:00:00;73.8247;15
05.09.2013 00:30:00;76.024;15
05.09.2013 01:00:00;78.136;15
05.09.2013 01:30:00;79.6687;15
05.09.2013 02:00:00;80.6627;15
05.09.2013 02:30:00;81.2193;15
05.09.2013 03:00:00;79.1573;15
05.09.2013 03:30:00;71.7533;15
05.09.2013 04:00:00;68.426;15
05.09.2013 04:30:00;66.0433;15
05.09.2013 05:00:00;62.536;15
05.09.2013 05:30:00;58.0873;15
05.09.2013 06:00:00;55.7427;15
05.09.2013 06:30:00;54.0127;15
05.09.2013 07:00:00;52.4713;15
05.09.2013 07:30:00;48.598;15
05.09.2013 08:00:00;43.3967;15
05.09.2013 08:30:00;42.0033;15
05.09.2013 09:00:00;40.79;15
05.09.2013 09:30:00;41.558;15
05.09.2013 10:00:00;41.262;15
05.09.2013 10:30:00;42.4107;15
05.09.2013 11:00:00;40.1447;15
05.09.2013 11:30:00;35.2947;15
05.09.2013 12:00:00;36.6173;15
05.09.2013 12:30:00;37.3893;15
05.09.2013 13:00:00;41.7347;15
05.09.2013 13:30:00;44.1233;15
05.09.2013 14:00:00;40.6587;15
05.09.2013 14:30:00;43.156;15
05.09.2013 15:00:00;42.178;15
05.09.2013 15:30:00;47.97;15
05.09.2013 16:00:00;47.422;15
05.09.2013 16:30:00;45.3933;15
05.09.2013 17:00:00;48.2747;15
05.09.2013 17:30:00;50.71;15
05.09.2013 18:00:00;52.8113;15
05.09.2013 18:30:00;51.786;15
05.09.2013 19:00:00;56.5507;15
05.09.2013 19:30:00;63.8373;15
05.09.2013 20:00:00;65.642;15
05.09.2013 20:30:00;65.8367;15
05.09.2013 21:00:00;65.8167;15
05.09.2013 21:30:00;66.284;15
05.09.2013 22:00:00;66.536;15
05.09.2013 22:30:00;67.7753;15
05.09.2013 23:00:00;67.22;15
05.09.2013 23:30:00;67.232;15
06.09.2013 00:00:00;67.514;15
06.09.2013 00:30:00;68.324;15
06.09.2013 01:00:00;68.1747;15
06.09.2013 01:30:00;68.158;15
06.09.2013 02:00:00;68.8767;15
06.09.2013 02:30:00;70.9613;15
06.09.2013 03:00:00;70.8787;15
06.09.2013 03:30:00;61.1553;15
06.09.2013 04:00:00;60.2113;15
06.09.2013 04:30:00;58.7987;15
06.09.2013 05:00:00;57.0507;15
06.09.2013 05:30:00;52.5887;15
06.09.2013 06:00:00;47.4233;15
06.09.2013 06:30:00;45.89;15
06.09.2013 07:00:00;43.5233;15
06.09.2013 07:30:00;41.1253;15
06.09.2013 08:00:00;41.0633;15
06.09.2013 08:30:00;41.1607;15
06.09.2013 09:00:00;40.4953;15
06.09.2013 09:30:00;39.5967;15
06.09.2013 10:00:00;35.94;15
06.09.2013 10:30:00;34.3887;15
06.09.2013 11:00:00;43.002;15
06.09.2013 11:30:00;40.7133;15
06.09.2013 12:00:00;37.3693;15
06.09.2013 12:30:00;40.3407;15
06.09.2013 13:00:00;42.1367;15
06.09.2013 13:30:00;44.136;15
06.09.2013 14:00:00;46.746;15
06.09.2013 14:30:00;45.4333;15
06.09.2013 15:00:00;48.508;15
06.09.2013 15:30:00;46.498;15
06.09.2013 16:00:00;50.7107;15
06.09.2013 16:30:00;57.5427;15
06.09.2013 17:00:00;71.7753;15
06.09.2013 17:30:00;70.668;15
06.09.2013 18:00:00;71.3993;15
06.09.2013 18:30:00;70.7047;15
06.09.2013 19:00:00;73.1367;15
06.09.2013 19:30:00;77.9567;15
06.09.2013 20:00:00;80.7313;15
